feature,mean_abs_shap
airport_SJT,0.0
airport_SLN,0.0
airport_SMX,0.0
airport_SNA,0.0
airport_SPI,0.0
airport_UIN,0.0
airport_USA,0.0
airport_UST,0.0
airport_VCT,0.0
airport_VEL,0.0
airport_VLD,0.0
airport_VPS,0.0
airport_WRG,0.0
airport_WYS,0.0
airport_STC,0.0
airport_STL,0.0
airport_STS,0.0
airport_STX,0.0
airport_SUN,0.0
airport_SUX,0.0
airport_SWF,0.0
airport_YAK,0.0
airport_YKM,0.0
airport_YUM,0.0
"airport_name_Aberdeen, SD: Aberdeen Regional",0.0
"airport_name_Abilene, TX: Abilene Regional",0.0
"airport_name_Adak Island, AK: Adak",0.0
"airport_name_Akron, OH: Akron-Canton Regional",0.0
"airport_name_Alamosa, CO: San Luis Valley Regional/Bergman Field",0.0
"airport_name_Albany, GA: Southwest Georgia Regional",0.0
airport_TUS,0.0
airport_TVC,0.0
airport_TWF,0.0
airport_TXK,0.0
airport_TYR,0.0
airport_TYS,0.0
"airport_name_Bakersfield, CA: Meadows Field",0.0
"airport_name_Bangor, ME: Bangor International",0.0
"airport_name_Barrow, AK: Wiley Post/Will Rogers Memorial",0.0
airport_CHA,0.0
airport_CHO,0.0
airport_CIC,0.0
airport_CIU,0.0
airport_CKB,0.0
airport_CLD,0.0
airport_CLL,0.0
airport_CMH,0.0
airport_CMI,0.0
airport_CMX,0.0
airport_CNY,0.0
airport_BRD,0.0
airport_XWA,0.0
"airport_name_Bellingham, WA: Bellingham International",0.0
"airport_name_Bemidji, MN: Bemidji Regional",0.0
"airport_name_Bend/Redmond, OR: Roberts Field",0.0
"airport_name_Bethel, AK: Bethel Airport",0.0
"airport_name_Billings, MT: Billings Logan International",0.0
"airport_name_Bismarck/Mandan, ND: Bismarck Municipal",0.0
"airport_name_Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",0.0
"airport_name_Boise, ID: Boise Air Terminal",0.0
"airport_name_Alpena, MI: Alpena County Regional",0.0
"airport_name_Amarillo, TX: Rick Husband Amarillo International",0.0
"airport_name_Appleton, WI: Appleton International",0.0
"airport_name_Asheville, NC: Asheville Regional",0.0
"airport_name_Ashland, WV: Tri-State/Milton J. Ferguson Field",0.0
"airport_name_Aspen, CO: Aspen Pitkin County Sardy Field",0.0
"airport_name_Atlantic City, NJ: Atlantic City International",0.0
"airport_name_Augusta, GA: Augusta Regional at Bush Field",0.0
airport_GSP,0.0
airport_GST,0.0
airport_GTF,0.0
airport_GTR,0.0
"airport_name_Bristol/Johnson City/Kingsport, TN: Tri Cities",0.0
"airport_name_Brownsville, TX: Brownsville South Padre Island International",0.0
"airport_name_Brunswick, GA: Brunswick Golden Isles",0.0
"airport_name_Butte, MT: Bert Mooney",0.0
"airport_name_Cape Girardeau, MO: Cape Girardeau Regional",0.0
"airport_name_Carlsbad, CA: McClellan-Palomar",0.0
"airport_name_Casper, WY: Casper/Natrona County International",0.0
"airport_name_Cedar City, UT: Cedar City Regional",0.0
"airport_name_Champaign/Urbana, IL: University of Illinois/Willard",0.0
"airport_name_Beaumont/Port Arthur, TX: Jack Brooks Regional",0.0
"airport_name_Belleville, IL: Scott AFB MidAmerica St Louis",0.0
"airport_name_Belleville, IL: Scott AFB/MidAmerica",0.0
"airport_name_Clarksburg/Fairmont, WV: North Central West Virginia",0.0
"airport_name_Cody, WY: Yellowstone Regional",0.0
"airport_name_Cold Bay, AK: Cold Bay Airport",0.0
"airport_name_Brainerd, MN: Brainerd Lakes Regional",0.0
"airport_name_Branson, MO: Branson Airport",0.0
airport_HSV,0.0
airport_HTS,0.0
airport_HVN,0.0
airport_HYA,0.0
airport_HYS,0.0
airport_IAG,0.0
airport_IDA,0.0
airport_ILG,0.0
airport_ILM,0.0
airport_IMT,0.0
airport_GSO,0.0
"airport_name_Columbus, GA: Columbus Airport",0.0
"airport_name_Columbus, MS: Golden Triangle Regional",0.0
"airport_name_Columbus, OH: Rickenbacker International",0.0
"airport_name_Concord, NC: Concord Padgett Regional",0.0
"airport_name_Cordova, AK: Merle K Mudhole Smith",0.0
"airport_name_Corpus Christi, TX: Corpus Christi International",0.0
"airport_name_Crescent City, CA: Jack McNamara Field",0.0
"airport_name_Dayton, OH: James M Cox/Dayton International",0.0
"airport_name_Daytona Beach, FL: Daytona Beach International",0.0
"airport_name_Charleston/Dunbar, WV: West Virginia International Yeager",0.0
"airport_name_Charleston/Dunbar, WV: Yeager",0.0
"airport_name_Charlotte Amalie, VI: Cyril E King",0.0
